Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Regulatory Status,Authorization Number,Authorization Issue Date,Expiration Date,Georeference
NYCDOS EAST 91ST ST. MTS,E 91ST STREET  (91ST ST. & EAST RIVER),,New York,NY,10128,New York,2,2128378030,,,Transfer station - permit,[31T02],Yes,589239,4514721,,,Permit,2-6204-00007/00013,11/06/2015,11/05/2025,"E 91ST STREET (91ST ST
New York, NY 10128"
NYCDOS West 59th Street MTS,West 59th Street & Westside Highway,,New York,NY,10023,New York,2,2129776821,NYCDOS,Municipal,Transfer station - permit,[31T04],Yes,584951,4514023,,Commingled Paper & Containers,Permit,2-6202-00005/00017,05/01/2014,04/30/2019,"West 59th Street
New York, NY 10023"
Covanta Environmental Solutions - Niagara; LLC,8335 Quarry Road,,Niagara,NY,14304,Niagara,9,7162985297,Covanta Environmental Solutions; LLC,Private,Transfer station - permit,[32T06],Yes,177083,4782240,4.2 - Utilization of GIS and existing spatial data,Sludge (Industrial);Petroleum Contaminated Soil;Construction & Demolition Debris;Commingled Paper & Containers,Permit,9-2930-00012/00002,01/09/2015,04/21/2025,"8335 Quarry Road
Niagara, NY 14304
(43.124295, -78.968978)"
Camden Transfer Station,#2 Nichols Lane,,Camden,NY,13316,Oneida,6,3152452590,Village of Camden,Municipal,Transfer station - registration,[33R13],Yes,439517,4798415,4.3 - Utilization of Digital Orthophoto Quads,,Registration,33R13,07/01/1994,,"2 Nichols Lane
Camden, NY 13316
(43.332134, -75.744801)"
Deerfield (T) TS,6892 State Route 8,,Deerfield,NY,13502,Oneida,6,3158267014,Town of Deerfield,Municipal,Transfer station - registration,[33R15],Yes,488104,4779385,4.3 - Utilization of Digital Orthophoto Quads,MSW (Residential/Institutional & Commercial);White Goods,Registration,33R15,01/16/2004,,"6892 State Route
Deerfield, NY 13502"
Floyd Transfer Station,7430 Floyd Camroden Road,,Floyd (T),NY,13440,Oneida,6,3158656364,Town of Floyd,Municipal,Transfer station - registration,[33R08],Yes,472690,4785845,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Waste Tires;Wood (Brush/ Branches/ Trees/ Stumps);Yard Waste;Metals (Ferrous & Non-Ferrous);White Goods;Electronics,Registration,33R08,10/30/2000,,"7430 Floyd Camroden Road
Floyd (T, NY 13440
(43.223579, -75.337145)"
Forestport TS White Lake Road,1190 Bear Creek Rd.,,Forestport,NY,13338,Oneida,6,3153922801,Town of Forestport,Municipal,Transfer station - registration,[33R16],Yes,483998,4809062,1 - No accuracy stated,,Registration,33R16,02/17/2002,,"1190 Bear Creek Rd
Forestport, NY 13338"
Kirkland Transfer Station,3699 State Rte 12B,,Kirkland (T),NY,13323,Oneida,6,3158535082,Town of Kirkland,Municipal,Transfer station - registration,[33R09],Yes,468139,4765505,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Waste Tires;Yard Waste,Registration,33R09,11/20/2000,,"3699 State Rte
Kirkland (T, NY 13323"
Oriskany Falls Transfer Station,100 Mill Street,,Oriskany Falls,NY,13425,Oneida,6,3158217275,Village of Oriskany Falls,Municipal,Transfer station - registration,[33R20],Yes,461218,4756582,4.3 - Utilization of Digital Orthophoto Quads,Sewage Treatment Plant Sludge,Registration,33R20,02/17/2002,,"100 Mill Street
Oriskany Falls, NY 13425"
Oneida-Herkimer Western Transfer Station ,575 Perimeter Road,,Rome (C),NY,13440,Oneida,6,3153390288,Oneida Herkimer SWMA,Municipal,Transfer station - permit,[33T02],Yes,469000,4783400,4.3 - Utilization of Digital Orthophoto Quads,Construction & Demolition Debris;Bypass Waste (Unprocessible/Processible) ;MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Single Stream;Waste Tires;Metals (Ferrous & Non-Ferrous);White Goods,Permit,6-3013-00029/00014,07/01/2015,06/30/2020,"575 Perimeter Road
Rome (C, NY 13440"
Sherrill (C) Transfer Station,210 Elmwood Place,,Sherrill,NY,13461,Oneida,6,3153630370,City of Sherrill,Municipal,Transfer station - registration,[33R07],Yes,451585,4769972,4 - GIS Assisted,Construction & Demolition Debris;Waste Tires;Metals (Ferrous & Non-Ferrous);Single Stream;Wood (Brush/ Branches/ Trees/ Stumps),Registration,33R07,04/01/2001,,"210 Elmwood Place
Sherrill, NY 13461
(43.080603, -75.593231)"
Trenton Transfer Station,State Route 12,224 Veteran's Way,Trenton (T),NY,13304,Oneida,6,3158962615,Town of Trenton,Municipal,Transfer station - registration,[33R02],Yes,484637,4789620,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris;Sludge (Industrial);Metals (Ferrous & Non-Ferrous);Single Stream;MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Commingled Plastics;Electronics,Registration,33R02,03/19/2001,,"12 Trenton
T, NY 13304"
Ley Creek TS,5158 Ley Creek Drive,,Liverpool,NY,13088,Onondaga,7,3154532866,Onondaga County Resource Recovery Agency,County,Transfer station - permit,[34T71],Yes,405370,4771305,4.2 - Utilization of GIS and existing spatial data,Commingled Paper & Containers;Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Corrugated Cardboard;Metals (Ferrous & Non-Ferrous);Waste Tires,Permit,7-3148-00048/00003,03/03/2014,03/02/2024,"5158 Ley Creek Drive
Liverpool, NY 13088"
Environmental Products & Services of Vermont Inc,532 State Fair Boulevard,,Syracuse,NY,13204,Onondaga,7,3154710305,Environmental Products & Services Inc,Private,Transfer station - permit,[34T75],Yes,404200,4768400,,Asbestos (Friable);Industrial;Sludge (Industrial);Construction & Demolition Debris;Oil/Gas Drilling Waste;Petroleum Contaminated Soil;Asbestos (Non-Friable);Metals (Ferrous & Non-Ferrous),Permit,7-3115-00193/00009,10/12/2017,10/11/2027,"532 State Fair Boulevard
Syracuse, NY 13204
(43.059631, -76.183057)"
Bristol Rural Transfer Station (T),3901 County Road 2,,Bloomfield,NY,14424,Ontario,8,5852292400,Town of Bristol,Municipal,Transfer station - registration,[35R01],Yes,301900,4745300,1 - No accuracy stated,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Corrugated Cardboard;Magazines;Newspaper;Office Paper;Metals (Ferrous & Non-Ferrous);Commingled Plastics,Registration,35R01,08/11/1997,,"3901 County Road
Bloomfield, NY 14424"
Canandaigua (T) Transfer Station #1,5440 Routes 5 & 20 West,,Canandaigua,NY,14424,Ontario,8,5853943300,Town of Canandaigua,Municipal,Transfer station - registration,[35R13],Yes,310950,4750200,1 - No accuracy stated,Waste Tires;Construction & Demolition Debris;Commingled Paper & Containers;MSW (Residential/Institutional & Commercial);Metals (Ferrous & Non-Ferrous),Registration,35R13,07/16/1997,,"5440 Routes
Canandaigua, NY 14424"
Geneva (T) Rural Transfer,32 White Springs Road,,Geneva,NY,14456,Ontario,8,3157896727,Town of Geneva,Municipal,Transfer station - registration,[35R16],Yes,335700,4745800,1 - No accuracy stated,MSW (Residential/Institutional & Commercial);Commingled Paper & Containers,Registration,35R16,12/03/1997,,"32 White Springs Road
Geneva, NY 14456
(42.8565, -76.999821)"
Gorham (T) Rural Transfer,3478 Lake to Lake Road,,Gorham,NY,14461,Ontario,8,5855265777,Town of Gorham,Municipal,Transfer station - registration,[35R05],Yes,321400,4742000,1 - No accuracy stated,,Registration,35R05,05/06/1994,,"3478 Lake to Lake Road
Gorham, NY 14461"
Richmond (T) Rural Transfer,8690 Main Street,,Honeoye,NY,14471,Ontario,8,5852295757,Town of Richmond,Municipal,Transfer station - registration,[35R09],Yes,294300,4740400,1 - No accuracy stated,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Yard Waste;Compost;Commingled Paper & Containers;Metals (Ferrous & Non-Ferrous),Registration,35R09,08/12/1997,,"8690 Main Street
Honeoye, NY 14471
(42.789725, -77.514348)"
Hopewell (T) Rural Transfer,2716 County Rd #47,,Hopewell,NY,14424,Ontario,8,5853943850,Town of Hopewell,Municipal,Transfer station - registration,[35R17],Yes,321600,4751800,1 - No accuracy stated,MSW (Residential/Institutional & Commercial);Single Stream;Metals (Ferrous & Non-Ferrous);Electronics,Registration,35R17,07/09/1997,,"2716 County Rd
Hopewell, NY 14424
(42.905671, -77.118876)"
Naples Rural Transfer (V) ,Italy Valley Rd,,Naples,NY,14512,Ontario,8,5853742435,Village of Naples,Municipal,Transfer station - registration,[35R08],Yes,303800,4718350,1 - No accuracy stated,MSW (Residential/Institutional & Commercial);Single Stream;Commingled Paper & Containers;Metals (Ferrous & Non-Ferrous);Corrugated Cardboard,Registration,35R08,03/06/1995,,
Phelps (V) Transfer,1342 State Route 96,,Phelps,NY,14532,Ontario,8,3155483882,Village of Phelps,Municipal,Transfer station - registration,[35R0009],Yes,332682,4758285,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial);Single Stream,Registration,35R0009,03/07/2019,03/06/2024,"1342 State Route
Phelps, NY 14532"
Seneca (T) Rural Transfer,3671 County Road 5,,Seneca,NY,14561,Ontario,8,8002273552,Casella Waste Management of NY; Inc,Municipal,Transfer station - registration,[35R03],Yes,330300,4746300,,MSW (Residential/Institutional & Commercial);Single Stream,Registration,35R03,06/03/1994,,"3671 County Road
Seneca, NY 14561"
South Bristol Rural Transfer (T),Middlebrook Road,,South Bristol,NY,14512,Ontario,8,5853746341,Town of South Bristol,Municipal,Transfer station - registration,[35R02],Yes,303450,4732700,1 - No accuracy stated,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial),Registration,35R02,07/03/1997,,
Victor Rural Transfer (T),60 Rawson road,,Victor,NY,14564,Ontario,8,5857425094,Town of Victor,Municipal,Transfer station - registration,[35R11],Yes,302700,4761400,1 - No accuracy stated,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Oil/Gas Drilling Waste;Commingled Paper & Containers;Single Stream;Corrugated Cardboard;Newspaper;Metals (Ferrous & Non-Ferrous);White Goods;Commingled Plastics;Electronics;Waste Tires,Registration,35R11,07/11/1997,,"60 Rawson road
Victor, NY 14564
(42.980974, -77.418205)"
IWS Goshen Transfer Station (Northern),95 Hartley Road,,Goshen,NY,10924,Orange,3,8452941555,Interstate Waste Services,Private,Transfer station - permit,[36T07],Yes,552487,4584355,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Commingled Paper & Containers,Permit,3-3330-00094/00001,09/26/2019,09/25/2024,"95 Hartley Road
Goshen, NY 10924
(41.404213, -74.37546)"
Orange County Transfer Station #1 (New Hampton),21 Training Center Lane,,Goshen,NY,10924,Orange,3,8453741901,Orange County,County,Transfer station - permit,[36T08],Yes,550009,4582556,,MSW (Residential/Institutional & Commercial);Commingled Paper & Containers,Permit,3-3330-00185/00001,12/14/2007,12/13/2017,"21 Training Center Lane
Goshen, NY 10924
(41.39529, -74.398119)"
Orange County Transfer Station #2 (Newburgh),NYS Rt 17K,9 Orr Road,Newburgh,NY,12550,Orange,3,8453741901,Orange County,County,Transfer station - permit,[36T01],Yes,577332,4594911,,,Consent Order,,,,"17K Newburgh
NY 12550
(41.471968, -73.550679)"
Orange County Transfer Station #2 (Newburgh CDA),9 Orr Avenue,,Newburgh,NY,12550,Orange,3,8453741901,Orange County,County,Transfer station - permit,[36T09],Yes,577332,4594911,1 - No accuracy stated,MSW (Residential/Institutional & Commercial);Single Stream;Magazines;Metals (Ferrous & Non-Ferrous);Waste Tires;Waste Oil (Other);Electronics;Commingled Paper & Containers;Construction & Demolition Debris,Permit,3-3346-00069/00005,11/27/2018,11/26/2023,"9 Orr Avenue
Newburgh, NY 12550
(41.504699, -74.08036)"
West Point Transfer Station,667-A Ruger Road IMML-PWE 3rd Floor Mail Rm,,West Point,NY,10996,Orange,3,8459388000,US Army Garrison West Point,Federal,Transfer station - permit,[36T02],Yes,583508,4581766,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Sewage Treatment Plant Sludge;Waste Tires;Metals (Ferrous & Non-Ferrous),Permit,3-3336-00063/00001,07/31/2012,08/01/2017,"667-A Ruger Road
West Point, NY 10996
(41.394317, -73.959055)"
Waste Recovery Enterprises Inc,122 Valley View Road,,Unadilla,NY,13849,Otsego,4,6075632616,Denton Reed,Private,Transfer station - permit,[39T55],Yes,466595,4685459,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Single Stream;Metals (Ferrous & Non-Ferrous),,4-3662-00002/00007,01/27/2011,01/26/2021,"122 Valley View Road
Unadilla, NY 13849
(42.160154, -75.198306)"
Stuart W Bates Inc,36 Starr Ridge Road,,Brewster,NY,10509,Putnam,3,8452798952,Mary Ann Bates,Private,Transfer station - permit,[40T04],Yes,617724,4582945,,Septage;Sewage Treatment Plant Sludge,Permit,3-3730-00150/00004,08/06/2014,08/05/2019,"36 Starr Ridge Road
Brewster, NY 10509
(41.38915, -73.593918)"
Tyndall Septic Systems Inc,15 Independent Way,,Brewster,NY,10509,Putnam,3,8452798809,E. Patrick Tyndall,Private,Transfer station - permit,[40T07],Yes,615348,4587738,,Septage;Sewage Treatment Plant Sludge,Permit,3-3373-00215/00003,11/30/2018,11/29/2023,"15 Independent Way
Brewster, NY 10509
(41.415879, -73.625547)"
J Mantovi Excavating Inc dba Mahopac Septic,485 Kennicut Hill Road,,Mahopac,NY,10541,Putnam,3,8456284526,Joseph Mantovi,Private,Transfer station - permit,[40T06],Yes,606281,4580047,,Septage;Sewage Treatment Plant Sludge,Permit,3-3720-00094/00005,08/14/2012,03/31/2018,"485 Kennicut Hill Road
Mahopac, NY 10541
(41.366331, -73.730259)"
DSNY North Shore Household Special Waste Drop-Off Facility,120-15 31st Avenue,,College Point,NY,11354,Queens,2,2124374668,NYC Dept of Sanitation,Municipal,Transfer station - registration,[41RC0],Yes,597262,4513987,1 - No accuracy stated,Waste Oil (Other);Waste Tires,Registration,41RC0,02/21/2017,,"120 15 31st Avenue
College Point, NY 11354"
NYCDOS-NORTH SHORE MTS,31 AVE & FLUSHING BAY,,College Point,NY,11354,Queens,2,2128378030,NYC Department of Sanitation,Municipal,Transfer station - permit,[41T01],Yes,597307,4513857,,MSW (Residential/Institutional & Commercial),Permit,2-6302-00007/00019,06/21/2017,06/22/2022,"31 AVE
College Point, NY 11354"
Tully Environmental Inc Flushing,127-20 34th Avenue,,Flushing,NY,11368,Queens,2,7184465001,Tully Environmental Inc,Private,Transfer station - permit,[41T95],Yes,597700,4512800,4.3 - Utilization of Digital Orthophoto Quads,MSW (Residential/Institutional & Commercial);Corrugated Cardboard;Metals (Ferrous & Non-Ferrous),None,2-6302-00259/00005,10/07/2019,10/06/2024,"127 20 34th Avenue
Flushing, NY 11368"
Jamaica Recycling (Liberty),94-29 165th Street,,Jamaica,NY,11433,Queens,2,7187397224,Michael Bellino,Private,Transfer station - permit,[41T30],Yes,602056,4506483,,Petroleum Contaminated Soil;MSW (Residential/Institutional & Commercial);Industrial,None,2-6307-00126/00005,05/14/2015,05/13/2020,"94 29 165th Street
Jamaica, NY 11433"
Regal Recycling Inc,172-06 Douglas Avenue,,Jamaica,NY,11433,Queens,2,7185239330,Regal Recycling Company Inc,Private,Transfer station - permit,[41T49],Yes,602523,4506701,,MSW (Residential/Institutional & Commercial);Food Scraps;Yard Waste;Corrugated Cardboard,Permit,2-6307-00008/00007,06/18/2013,06/18/2018,"172 06 Douglas Avenue
Jamaica, NY 11433"
WMNY Review Transfer Station,38-22 Review Avenue,,Long Island City,NY,11101,Queens,2,7187520323,Waste Management of NY; LLC,Private,Transfer station - permit,[41T23],Yes,589826,4509592,,MSW (Residential/Institutional & Commercial);Metals (Ferrous & Non-Ferrous),None,2-6304-00029,11/03/2017,11/02/2022,"38 22 Review Avenue
Long Island City, NY 11101"
Hoosick Falls Transfer Station (V),Walnut St,,Hoosick Falls,NY,12090,Rensselaer,4,5186867431,Village of Hoosick Falls,Municipal,Transfer station - registration,[42R28],Yes,634306,4752927,,Construction & Demolition Debris;Metals (Ferrous & Non-Ferrous);Waste Tires;Single Stream;Electronics,Registration,42R28,,,
Pittstown Transfer Station (T),2500 New York Roue 67,,Johnsonville,NY,12094,Rensselaer,4,5187534420,Town of Pittstown,Municipal,Transfer station - registration,[42R36],Yes,619835,4747619,,Construction & Demolition Debris;Metals (Ferrous & Non-Ferrous);Waste Tires;Single Stream,Registration,42R36,,,"2500 New
Johnsonville, NY 12094"
Nassau Transfer Station (T),599 Central nassau Road,,Nassau,NY,12123,Rensselaer,4,5187662844,Town of Nassau,Municipal,Transfer station - registration,[42R30],Yes,618661,4712301,,,Registration,42R30,,,"599 Central nassau Road
Nassau, NY 12123"
Waste Management of NY (Poestenkill),Routes 351 & 66,,Poestenkill,NY,12140,Rensselaer,4,8455333305,Waste Management of NY,Private,Transfer station - permit,[42T100],Yes,616558,4724474,,Construction & Demolition Debris,Permit,4.3838E+14,10/10/2007,05/10/2027,"66 Poestenkill
NY 12140"
County Waste Transfer Corp. - Troy TS,799 Burden Ave,,Troy,NY,12180,Rensselaer,4,5182668990,County Waste Transfer Corp,Private,Transfer station - permit,[42T01],Yes,606743,4728753,,,None,4-3817-00111/00004,03/28/2018,03/27/2023,"799 Burden Ave
Troy, NY 12180
(42.703828, -73.696448)"
DSNY Muldoon Ave Household Special Waste Drop-Off Facility,Muldoon Aveneu,,Staten Island,NY,10312,Richmond,2,7183177885,NYC Dept of Sanitation,Municipal,Transfer station - registration,[43M49],Yes,568226,4491263,,Waste Tires;Waste Oil (Other),Registration,43M49,11/18/2016,,
NYCDOS Staten Island Transfer Station,600 West Service Road,,Staten Island,NY,10314,Richmond,2,7189671400,NYCDOS,Municipal,Transfer station - permit,[43T33],Yes,569097,4495352,,MSW (Residential/Institutional & Commercial),Permit,,11/06/2017,11/02/2022,"600 West Service Road
Staten Island, NY 10314"
IWS Chestnut Ridge Transfer Station,560 Chestnut Ridge Rd.,,Chestnut Ridge,NY,10977,Rockland,3,8452680400,Ron Benson (IWS),Private,Transfer station - permit,[44T03],Yes,580096,4549844,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Commingled Paper & Containers,Permit,3-3926-00055/00009,04/04/2011,01/30/2014,"560 Chestnut Ridge Rd
Chestnut Ridge, NY 10977
(41.09654, -74.047958)"
IWS Crossroads Transfer Station,331 Rt. 17S.,,Hillburn,NY,10931,Rockland,3,8453693111,IWS Transfer Systems of NY Inc.,Private,Transfer station - permit,[44T09],Yes,569440,4553345,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Metals (Ferrous & Non-Ferrous),Permit,3-3926-00550/00001,02/01/2013,08/11/2016,"331 Rt 17 S
Hillburn, NY 10931
(41.128942, -74.172161)"
Rockland County SWMA Ramapo (Hillburn) TS,50 Baler Boulevard & Torne Valley Rd,,Hillburn,NY,10931,Rockland,3,8457532240,Rockland County SWMA,County,Transfer station - permit,[44T02],Yes,570900,4555600,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Commingled Paper & Containers;White Goods;Waste Tires;Metals (Ferrous & Non-Ferrous),Permit,3-3926-00118/00009,03/25/2013,03/25/2020,"50 Baler Boulevard & Torne Valley Rd
Hillburn, NY 10931"
Rockland County SWMA Haverstraw (Bowline) TS,200 Beach Road,,West Haverstraw,NY,10993,Rockland,3,8454291823,Rockland County SWMA,County,Transfer station - permit,[44T07],Yes,586654,4562150,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Metals (Ferrous & Non-Ferrous);White Goods;Waste Tires,Permit,3-3922-00096/00002,03/25/2013,03/25/2020,"200 Beach Road
West Haverstraw, NY 10993
(41.208412, -73.970849)"
Rockland County SWMA Clarkstown Transfer Station,166 South Route 303,,West Nyack,NY,10994,Rockland,3,8453580759,Rockland County SWMA,County,Transfer station - permit,[44T06],Yes,588081,4549362,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Asphalt;Concrete;White Goods;Metals (Ferrous & Non-Ferrous),Permit,3-3920-00152/00004,03/25/2015,03/24/2020,"166 South Route
West Nyack, NY 10994"
Seneca Meadows Inc (West Nyack TS),183 Western Highway,,West Nyack,NY,10994,Rockland,3,8453588151,Seneca Meadows; Inc.,Private,Transfer station - permit,[44T04],Yes,587379,4548354,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Emergency Authorization Waste (Storm Debris);Corrugated Cardboard;Metals (Ferrous & Non-Ferrous);Commingled Plastics;Wood (Brush/ Branches/ Trees/ Stumps),Permit,3-3920-00093/00002,02/26/2013,02/26/2019,"183 Western Highway
West Nyack, NY 10994
(41.083917, -73.962293)"
Milton Transfer Station,503 Geyser Road,,Ballston Spa,NY,12020,Saratoga,5,5188859220,Town of Milton,Municipal,Transfer station - registration,[46R25],Yes,593613,4766504,4.3 - Utilization of Digital Orthophoto Quads,Land Clearing Debris;Wood (Brush/ Branches/ Trees/ Stumps),Registration,46R25,03/24/2003,,"503 Geyser Road
Ballston Spa, NY 12020
(43.044841, -73.85306)"
Day Recycling Center,92 Bovee Road,,Day,NY,12835,Saratoga,5,5186962406,Town of Day,Municipal,Transfer station - registration,[46R24],Yes,579979,4796067,4.3 - Utilization of Digital Orthophoto Quads,MSW (Residential/Institutional & Commercial);Magazines;Corrugated Cardboard;Newspaper;Commingled Paper & Containers;Metals (Ferrous & Non-Ferrous);Wood (Brush/ Branches/ Trees/ Stumps);Commingled Plastics,Registration,46M07,01/07/1998,,"92 Bovee Road
Day, NY 12835
(43.313227, -74.014229)"
Hadley Transfer Station/Recycling Center,4059 North Shore Road,,Hadley,NY,12835,Saratoga,5,5186963414,Town of Hadley,Municipal,Transfer station - registration,[46R10],Yes,592871,4796713,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Metals (Ferrous & Non-Ferrous);Commingled Plastics,Registration,46R10,03/23/1995,,"4059 North Shore Road
Hadley, NY 12835
(43.316281, -73.855936)"
County Waste & Recycling Services - Halfmoon,1927 Route 9,,Halfmoon,NY,12065,Saratoga,5,5188777007,County Waste & Recycling Services; Inc.,Private,Transfer station - permit,[46W05],Yes,600200,4751000,,MSW (Residential/Institutional & Commercial);Waste Tires;Commingled Paper & Containers;Single Stream,Permit,5-4138-00127/00001,08/02/2011,08/01/2021,"1927 Route
Halfmoon, NY 12065"
Halfmoon Transfer Station,322 Route 146,,Halfmoon,NY,12065,Saratoga,5,5186643127,Town of Halfmoon,Municipal,Transfer station - registration,[46R04],Yes,603665,4746632,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Waste Oil (Other);Commingled Paper & Containers;Newspaper;Metals (Ferrous & Non-Ferrous);Waste Tires;Electronics,Registration,46R04,01/25/1994,,"322 Route
Halfmoon, NY 12065"
Schenectady (City) Transfer Station,Weaver Street,,Schenectady,NY,12305,Schenectady,4,5183825144,City of Schenectady,Municipal,Transfer station - permit,[47T01],Yes,585889,4739723,1.1 - Obtained from original submission and unverified process,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Single Stream,Permit,4-4215-00028/00002,12/15/2014,05/31/2020,
Schoharie Transfer Station,2805 Rt. 7,,Howes Cave,NY,12092,Schoharie,4,5182968856,Casella Waste Management of NY Inc,Municipal,Transfer station - permit,[48T01],Yes,547892,4725787,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Sewage Treatment Plant Sludge;Emergency Authorization Waste (Storm Debris);Sludge (Industrial);Single Stream;Wood (Brush/ Branches/ Trees/ Stumps);Electronics;Metals (Ferrous & Non-Ferrous),Permit,4-4326-00054/00001,10/16/2014,07/31/2020,"2805 Rt
Howes Cave, NY 12092"
Wright TS (T),105A School Street,,Schoharie,NY,12157,Schoharie,4,5188729726,Town of Wright,Municipal,Transfer station - registration,[48R50],Yes,562708,4723333,,MSW (Residential/Institutional & Commercial);Commingled Paper & Containers,Registration,48R50,,,"105A School Street
Schoharie, NY 12157
(42.661897, -74.235895)"
Diliberto Disposal,4481 Ball Diamond Road,,Hector,NY,14841,Schuyler,8,6075467484,Joel Diliberto,Private,Transfer station - registration,[49R10],Yes,350974,4708693,,MSW (Residential/Institutional & Commercial),Registration,49R10,03/01/2013,,"4481 Ball Diamond Road
Hector, NY 14841
(42.513938, -76.814057)"
B&H Rail Transfer Station,417 Victory Highway,,Painted Post,NY,14870,Steuben,8,5853462090,B&H Rail Corporation,Private,Transfer station - permit,[51T05],Yes,323826,4671590,,Construction & Demolition Debris,Permit,8-4642-00151/00001,03/18/2015,03/17/2025,"417 Victory Highway
Painted Post, NY 14870
(42.176074, -77.122482)"
Morristown (V) Transfer Station,137 High St,,Morristown,NY,13664,St. Lawrence,6,3153754400,Village of Morristown,Municipal,Transfer station - registration,[45R25],Yes,448922,4937396,,Metals (Ferrous & Non-Ferrous),Registration,45R25,05/20/2015,,"137 High St
Morristown, NY 13664
(44.588515, -75.644127)"
Hampton Septic Services; Inc.,36 Bunker Hill Road,,Amagansett,NY,11930,Suffolk,1,6312677515,Victor Depietro,Private,Transfer station - permit,[52R42],Yes,742317,4540437,4.3 - Utilization of Digital Orthophoto Quads,Septage,Permit,1-4724-02182/00001,11/01/2017,10/31/2022,"36 Bunker Hill Road
Amagansett, NY 11930
(40.978989, -72.120435)"
Amityville Department of Public Works,80 Sterling Place,,Amityville,NY,11701,Suffolk,1,6317892200,Village of Amityville Attn: Village Clerk,Municipal,Transfer station - registration,[52R26R],Yes,633462,4504620,4.3 - Utilization of Digital Orthophoto Quads,Construction & Demolition Debris;Yard Waste;Leaves & Grass,Exempt,52R26R,03/15/2005,,"80 Sterling Place
Amityville, NY 11701
(40.681709, -73.420539)"
National Waste Disposal Corp,9 Lincoln Ave,,Bayshore,NY,11706,Suffolk,1,6312420300,National Waste Disposal Corp,Private,Transfer station - permit,[52T29],Yes,644718,4514705,,MSW (Residential/Institutional & Commercial),Permit,1-4728-00937/00004,10/31/2013,10/30/2018,"9 Lincoln Ave
Bayshore, NY 11706
(40.770402, -73.285356)"
Tire Recycling Services LLC,135 South Second St.,,Bayshore,NY,11706,Suffolk,1,6315861165,Try Recycling Services LLC,Private,Transfer station - permit,[52W54],Yes,644373,4514368,4.3 - Utilization of Digital Orthophoto Quads,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Commingled Paper & Containers;Metals (Ferrous & Non-Ferrous);Commingled Plastics;Wood (Brush/ Branches/ Trees/ Stumps),Permit,1-4728-01451/00001,07/01/2017,06/30/2022,"135 South Second St
Bayshore, NY 11706
(40.767305, -73.289231)"
Winters Bros Recycling of LI LLC  formerly D&T Paper Co,1590 Lakeland Ave,,Bohemia,NY,11716,Suffolk,1,6312442684,Winters Bros. of Long Island; LLC,Private,Transfer station - permit,[52T113],Yes,659249,4516409,4.3 - Utilization of Digital Orthophoto Quads,MSW (Residential/Institutional & Commercial);Corrugated Cardboard;Newspaper;Metals (Ferrous & Non-Ferrous);Commingled Plastics,Permit,1-4728/00930/00002,05/05/2016,05/04/2021,"1590 Lakeland Ave
Bohemia, NY 11716
(40.782213, -73.111874)"
Park Line Asphalt Maintenance,1877 Montauk Hwy,,Brookhaven,NY,11719,Suffolk,1,6312864726,Richard Mailand & Robert Mailand,Private,Transfer station - permit,[52R11],Yes,674362,4515950,4.2 - Utilization of GIS and existing spatial data,Street Sweepings;Asphalt;Brick;Concrete;Soil (Clean);Storm Drain & Catch Basin,Permit,1-4722-06190/00001,07/22/2019,07/21/2024,"1877 Montauk Hwy
Brookhaven, NY 11719
(40.775608, -72.934457)"
